	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189
OTU90	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	28	0	5	0	0	0	0	0	13	0	0	0	0	0	4	4401	1041	0	0	0	492	0	0	0	0	0	8	0	0	0	0	2098	0	0	0	0	0	591	0	0	0	0	0	0	0	5045	87	11	0	0	0	0	1480	482	0	0	0	0	0	0	10	0	0	0	13019	0	380	7	0	0	0	0	2	55	0	2439	21	0	0	0	0	0	0	3628	0	0	0	6740	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2443	0	15	0	0	840	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	246	0	0	0	0	89	0	0	0	0	40	0	0	0	0	0	26	0	0	7	0	35	0	0	4	0	0	0	4479	0	31	0	60	0	0	0
OTU91	0	923	0	10	161	0	0	0	528	284	78	0	14	1092	351	6	7	4	0	126	251	0	101	0	0	367	249	278	128	543	0	481	3	193	2194	60	292	2	2	0	172	0	142	1255	0	2288	0	0	1794	236	2165	0	3	3	0	3286	3	0	1007	1196	439	15	1250	279	0	1083	537	2	9	0	429	400	1344	4	2	0	0	658	277	292	420	1222	796	0	856	2	713	0	358	395	0	36	1248	490	0	22	0	2	0	2	383	1700	1404	1596	569	1028	254	88	946	3919	417	8029	230	698	123	0	1402	1444	0	346	0	566	1092	543	0	150	13	0	484	556	0	107	85	1026	1171	135	410	0	1083	155	0	0	0	80	0	690	1273	0	51	426	11	45	1606	36	0	10429	451	15	176	121	0	0	69	1056	1557	0	909	667	7591	1110	2896	0	283	134	0	880	0	0	539	62	2	702	3	4	603	383	0	0	4
OTU92	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	282	0	4203	1215	9	5	0	6	0	0	0	0	3	0	0	0	0	18	0	0	0	0	0	0	6971	0	0	0	0	0	0	0	0	0	2	6092	0	0	0	5233	0	0	2	395	0	0	0	0	0	0	0	50	0	1187	0	0	3	2799	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	9	0	0	0	0	0	130	4	4176	0	4	1345	1985	0	0	0	0	0	0	0	356	1505	0	1510	1406	0	0	94	0	0	1674	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	0	4861	0	0	5259	0	3	0	0	3303	0	2420	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU97	0	0	0	0	2495	26243	18	56	32	24	0	24	0	14	33	0	9	64	74	3708	1379	6	16	117	48	0	450	13	73	627	0	465	12	48	363	22	6	0	14	884	63	4699	0	4	0	4	0	3004	12	41	0	220	61	148	0	15	55	42	0	11	16	1215	0	241	16	12	70	725	0	37	4	41	0	735	0	0	7	0	71	115	0	0	0	0	27	0	4	3809	33	0	506	6	0	51	991	244	0	9	3899	1732	0	50	0	0	1311	497	0	27	1717	9	2	0	6	2193	0	38	14	0	5	0	0	3	6	7	3	0	0	10	0	0	0	0	5	0	12	4	5	11	0	43	0	0	3	118	38	0	216	1641	0	23	0	0	0	0	252	16	30	56	5	6	7	142	91	8	8	20	301	0	16	6	3	223	67	1412	694	2938	27	0	45	204	7721	39	0	13	32	20	0	4	112
OTU98	0	49	0	8	15	0	0	79	36	274	23	0	152	360	17	3797	237	188	249	190	0	190	0	0	0	0	28	14	57	49	989	0	236	22	132	49	0	495	0	1138	36	0	46	142	0	212	0	0	549	0	13	0	0	0	280	9	122	362	53	153	108	6	19	0	135	328	33	1681	153	647	127	0	21	72	513	0	0	200	428	0	137	280	38	241	813	47	73	0	482	48	0	23	38	7	2	0	83	0	0	0	0	283	71	376	257	275	140	0	111	220	263	22	10	47	0	143	121	99	0	36	283	0	0	0	116	0	15	13	61	30	22	0	42	0	350	25	35	194	100	7	500	108	81	15	0	6	31	178	18	130	0	0	42	0	629	1624	116	0	53	148	0	6	20	997	188	1431	318	0	269	231	83	414	55	35	681	165	133	677	72	19	0	203	0	30	64	335	0	280	0
OTU100	0	31123	0	0	0	10	2	25	0	13	686	5	0	0	5	0	4	5	10	3	0	0	1900	3	940	3	83	0	4	0	119	4664	0	0	0	0	3	16	0	0	3	778	0	0	10754	0	0	0	0	0	0	0	1919	0	0	0	0	0	0	3	0	0	0	0	0	4	88	2	11	33	0	3	0	14428	0	0	0	12	59	0	0	385	0	0	0	0	0	4	487	0	0	1716	0	0	0	0	0	0	0	0	55	9	0	0	3889	1521	0	6	66	0	0	0	0	9	0	5	0	0	0	3	0	0	11	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	3	0	0	0	4	0	0	0	8	0	0	0	0	2	0	404	62	33	5	155	16	13486	0	0	0	0	107	0	0	0	0	0	0	0	0	88	1182	0	3	0	0	0
OTU102	0	21	0	3	0	0	0	0	0	0	0	0	0	0	655	239	12	8	0	1540	3171	9	215	9	5	796	35	3885	651	22	11	120	0	7	56	0	252	1234	6	0	0	3	0	0	5	240	4	900	3	3	0	9	2	7	0	5	1650	0	655	1766	0	18	2846	4130	18	0	205	3	8	3	0	2512	1000	0	1153	0	0	107	838	231	50	0	0	6	0	7	0	0	272	88	0	0	0	0	0	97	0	0	0	295	362	0	0	3	1095	326	25	0	161	486	76	12	0	2	685	0	302	0	0	952	46	1233	4421	2707	0	161	0	30	50	417	0	0	0	0	1198	0	0	0	0	2962	3049	69	5190	2	0	0	0	0	904	0	86	0	0	3	0	21	0	2	0	1166	0	0	57	0	78	0	18	864	2313	0	0	0	108	10	11	443	0	0	0	0	3	0	10	0	479	0	0	0	3
OTU105	0	174	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	364	0	0	617	0	889	0	0	0	933	0	0	0	0	3499	7	0	0	0	0	271	2652	0	0	0	0	0	16	2732	0	5	4	55	0	597	0	1273	148	0	0	1706	490	38	0	57	0	227	0	59	1247	4642	6	0	0	0	20	159	125	0	0	0	0	0	0	510	0	0	0	0	237	0	0	0	18	0	0	0	0	2225	1332	84	0	419	0	0	0	62	0	0	0	0	0	212	0	203	0	0	0	0	1269	0	1019	0	321	0	0	250	95	0	8	0	0	0	0	0	0	0	413	58	0	89	0	0	0	235	0	14	0	0	0	25	0	1496	0	1129	0	87	1612	0	0	0	0	0	0	0	0	183	462	0	0	680	0	0	6	0	0	80	0	0	1383	0	0	0	27	0	0	0
OTU108	0	0	44	0	1011	4	0	87	5	0	0	81	72	4	5	0	0	0	0	0	16	10	97	0	0	10	0	46	67	0	41	125	0	0	1013	4	0	9	3	19	0	0	60	0	25	40	0	12	953	3	6	0	604	0	3	0	0	0	16	118	0	262	0	507	0	1124	88	2	4	70	98	10	0	70	0	0	0	2	19	60	0	0	262	13	84	45	0	0	2	0	56	6	56	171	0	0	7	18	0	3	97	286	0	4	5184	5	21	5	30	0	5	20	14	0	34	0	0	0	32	3	7	61	1021	60	117	9	0	8	119	3	90	0	3	68	7	24	33	26	257	0	9	0	35	0	24	0	120	7	829	91	4	0	0	10	92	200	12	0	0	0	5553	1630	0	0	12	2	0	0	124	16	7	0	0	10	323	6	0	18	13	8	142	7	291	0	0	2	0	0	63
OTU112	0	0	10	0	0	0	0	0	0	0	0	0	9	393	0	0	0	2898	0	0	0	0	26	0	0	0	3	10	195	1725	0	0	0	3	0	109	0	0	0	0	0	0	308	407	8	0	238	0	0	0	427	0	0	0	0	0	0	1080	0	0	0	5	6	0	0	0	0	0	2020	3	0	34	0	0	0	0	0	8	17	286	0	0	0	523	0	0	154	0	1573	0	0	565	0	395	0	0	0	0	0	491	0	0	0	0	864	537	0	31	206	0	0	0	591	1104	269	0	2	966	2	0	255	0	155	69	0	0	0	0	0	7	405	0	0	0	809	0	0	575	1931	20	0	0	3	2	2449	0	0	2	0	76	0	0	0	0	0	2796	0	0	0	806	0	0	10	3	12	0	20	351	0	0	0	2809	83	13	0	898	0	0	2	3	0	0	8	0	0	0	6	0	0
OTU116	0	6	0	0	9	0	0	54	0	254	0	0	0	95	0	4	0	0	0	0	59	208	90	0	0	10	52	140	0	0	645	0	0	26	52	58	72	293	0	0	0	0	84	234	0	5	0	0	214	18	213	0	0	0	46	0	0	612	79	0	35	2	169	0	131	0	0	387	0	0	73	113	171	28	0	0	0	1728	258	64	408	0	34	0	8	0	308	0	14	19	0	0	149	0	0	0	0	0	0	0	271	774	55	0	0	0	0	0	11	0	26	0	0	0	0	0	0	0	0	17	227	26	54	0	0	0	0	38	78	100	0	55	0	0	0	0	0	0	0	27	0	0	276	0	0	0	166	0	5	15	0	0	260	6	0	0	0	2	118	0	0	0	0	483	17	0	0	55	98	5	2	0	220	4	326	0	0	0	10	0	0	0	0	0	97	114	0	0	0
OTU120	0	0	0	0	186	3548	0	0	0	0	0	0	0	7	0	0	20	0	43	0	0	0	0	0	1041	329	0	0	0	0	11	0	0	0	0	0	70	0	74	52	0	0	0	0	0	65	117	0	44	0	0	0	0	0	0	109	59	0	0	0	0	0	0	0	0	0	0	54	0	10	0	0	0	10	43	0	0	0	0	15	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	2148	0	0	139	0	0	0	0	0	0	0	0	12	0	80	0	0	0	79	0	30	0	0	0	17	0	0	0	0	0	0	0	54	0	0	0	0	0	306	722	250	30	12	1271	0	20	0	0	0	0	0	0	338	0	0	0	86	0	0	0	0	32	0	0	0	0	6	0	0	0	87	0	0	130	11	0	0	0	2693	0	0	0	0	40	11
OTU128	43	0	0	271	7	4	0	8	184	0	510	0	0	0	186	4	306	2	5	19	403	0	33	3	210	7	1243	11	50	319	970	435	3	498	0	4	4	69	66	5	0	1257	4	2	156	1083	12	0	3	5	36	48	0	2	0	4	26	2	0	214	497	2111	479	9	143	11	48	8	0	9	2	0	3	0	357	0	0	0	440	12	4	0	22	2	7	0	28	11	17	0	150	61	6	30	2310	8	0	0	4705	4	0	0	0	0	2	12	0	8	47	28	13	0	5	0	17	0	0	2	570	158	0	9	0	295	797	0	9	31	243	12	16	5	10	0	161	0	0	0	442	104	0	0	0	16	0	0	25	3031	0	0	216	769	13	0	0	0	2044	0	0	7	13	4	52	26	39	2	5	203	0	0	0	1463	2	60	835	214	212	0	48	0	3425	196	0	18	14	243	0	1203	36
OTU130	0	285	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	390	0	0	1943	4	2022	0	0	2	0	501	0	0	30	1026	68	0	0	0	0	0	3953	0	931	0	0	0	3	2884	0	4	0	0	0	2546	0	1662	507	793	9	657	260	362	0	0	0	435	0	0	1038	3072	6	0	0	0	17	673	0	206	0	0	0	0	2	1048	2	0	349	0	543	0	0	0	445	0	0	0	0	535	0	52	0	3	0	0	0	18	0	3	0	0	0	154	0	29	0	0	41	40	890	0	1794	0	149	0	228	404	16	0	0	0	0	441	0	0	0	0	382	49	0	307	0	0	0	0	0	799	0	0	0	301	0	28	3	3268	0	97	423	0	0	20	2	0	0	14	0	1175	3	3	0	173	12	0	325	0	0	218	0	0	493	0	0	0	4	0	0	0
OTU135	0	0	14	0	0	20	0	59	0	272	168	3	0	0	0	1654	0	0	0	0	8	5	0	0	0	6	0	0	17	6	0	2	0	0	0	0	0	0	0	56	7122	1661	0	0	0	7	0	0	0	0	0	3	0	0	7	0	0	0	0	10	196	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	5500	0	0	0	0	0	0	6	10	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	519	73	0	5	39	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	189	99	0	0	0	25	0	0	145	0	0	0	0	0	0	0	0	0	0	26	0	0	0
OTU136	0	0	50	5	4296	21	4	5	0	0	0	18	0	5	21	0	0	0	0	0	39	170	386	7	0	6	76	0	0	0	67	20	0	200	16	0	0	11	26	0	0	0	8	0	4	8	0	10	0	0	0	0	5620	0	0	0	12	0	4	157	0	5	0	505	81	4	55	0	23	0	63	0	0	593	0	160	0	0	53	0	0	18	289	0	0	7	0	0	75	0	3	0	2	507	0	0	17	53	0	8	0	10	0	0	138	46	0	255	50	10	0	550	10	0	0	0	0	0	17	5	9	6	1960	5	114	0	0	68	0	0	56	0	75	45	20	0	0	21	5	8	8	0	0	0	987	0	234	6	1393	3	22	13	0	18	78	51	0	0	3	0	0	73	0	0	0	0	9	0	1436	0	30	0	11	12	128	0	7	4	93	113	2160	4	9	0	0	9	0	0	8
OTU139	0	117	0	0	14	0	0	0	37	0	0	0	0	0	658	469	0	167	0	856	0	174	0	0	0	835	6	255	0	232	0	505	0	0	0	82	203	0	0	0	0	0	0	113	16	10	0	76	0	0	619	0	0	0	0	46	3159	0	39	229	0	0	29	240	38	0	197	0	0	1481	0	217	398	0	77	0	0	0	0	118	120	0	17	0	0	0	187	0	261	120	0	457	0	104	12	0	0	0	0	67	32	226	0	0	15	289	452	0	59	1467	97	0	0	0	143	0	196	54	0	96	0	57	20	318	9	85	0	42	233	18	524	0	19	0	183	0	0	0	0	216	269	126	385	14	0	0	323	0	224	120	41	0	322	0	0	0	92	0	87	516	0	0	0	73	47	257	0	618	1705	0	0	0	142	0	304	211	0	0	0	147	0	57	0	0	167	0	0	0	0
OTU141	0	13	121	320	88	0	0	71	260	155	52	0	1152	90	40	217	0	260	0	12	30	196	0	0	0	63	9	0	30	37	0	11	214	168	0	51	0	0	0	0	1445	4	136	182	473	170	0	142	67	56	0	26	0	0	210	0	71	136	24	0	1455	0	0	52	1506	243	23	0	274	2585	0	0	0	0	0	0	0	95	230	40	0	159	158	0	210	71	14	0	0	58	949	23	1032	128	0	4	0	345	0	26	0	410	62	415	27	208	355	0	857	521	0	430	34	23	64	0	162	242	111	34	1372	21	17	46	790	121	20	299	268	23	223	0	0	348	299	82	38	90	79	19	614	362	213	27	0	82	101	534	0	154	0	199	70	0	972	215	21	0	88	97	277	0	0	724	218	930	188	197	69	241	95	9	15	40	3	114	173	1088	37	18	0	69	0	0	414	181	0	870	3
OTU142	1066	590	7	141	33	0	0	153	34	0	24	0	440	18	302	284	28	48	17	160	58	264	93	50	38	1025	29	140	99	16	66	238	63	73	74	65	374	1643	0	45	38	2	47	1636	64	117	4	27	30	40	2147	69	0	0	141	182	340	22	506	94	2456	2	2522	137	494	18	101	26	217	71	36	76	169	37	33	0	0	24	82	8	19	116	16	37	78	19	304	44	23	18	86	64	16	23	28	7	30	9	4	72	55	632	141	34	26	43	24	53	98	354	117	5	41	9	319	0	675	36	25	34	623	396	29	668	146	32	15	88	214	97	42	59	42	67	18	40	23	23	93	87	151	2510	0	11	0	31	5	194	563	155	351	29	184	23	38	41	234	11	406	180	60	0	0	84	52	115	693	324	249	953	19	10	1806	110	0	27	7	54	91	17	114	297	6	74	1148	566	3	166	14
OTU144	0	498	0	0	0	0	0	0	0	0	0	0	0	2363	0	5	3	4	0	0	0	0	8	2	0	0	0	310	35	0	0	0	0	0	0	0	0	6	0	2	2	0	15	0	0	0	0	0	0	0	587	0	0	0	0	0	0	0	0	715	438	0	13	0	0	0	0	2	3	2	0	81	203	0	3225	0	0	7	12	0	0	0	0	0	0	0	404	0	0	0	0	9	0	0	0	0	0	0	0	448	7	4177	0	0	0	0	0	0	0	0	0	0	0	2	638	0	0	0	0	184	0	1981	0	460	0	367	0	0	0	62	0	9	0	0	0	0	0	0	0	174	2	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	0	0	0	553	0	2	2	0	0	0	0	0	0	0
OTU145	99	51	137	48	0	0	41	10	0	14	20	61	13	0	0	141	13	27	210	60	0	0	0	0	362	0	0	0	8	0	0	0	5	0	49	0	0	18	811	2	0	393	0	0	127	19	5	0	20	27	0	0	737	23	0	67	0	0	0	6	0	483	0	117	0	0	0	178	85	3224	15	0	3	235	5	11	21	0	6	0	0	6	0	89	0	0	0	0	0	0	504	0	0	0	0	0	0	0	757	0	0	62	7	2	0	0	0	0	34	13	0	1303	0	0	9	102	16	0	0	0	56	0	0	0	4	0	0	0	24	0	1772	0	0	5523	0	3	0	0	0	12	0	22	0	0	3332	16	0	829	10	0	202	7	4	0	10	3228	0	0	0	0	0	82	0	0	155	0	0	21	33	6	0	6	0	0	0	0	6	0	0	0	0	7	7	178	116	0	187	0	123
OTU149	2	0	0	3	0	6	0	182	0	1823	2	73	0	813	0	0	2573	0	0	0	6	0	795	0	0	1020	14	0	0	0	0	0	31	0	0	0	0	0	0	14	0	82	0	0	0	0	0	5	24560	21	4	0	16	0	0	0	0	30	0	2541	1852	136	2	0	0	0	2	7860	9	1093	5	0	0	261	8	8	0	10	0	0	0	5	0	0	6	7	0	0	1974	0	0	520	7	0	0	0	0	1618	1377	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	507	875	0	0	2	83	0	0	9	3393	0	297	0	0	0	1227	0	0	3317	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	20	9	0	228	0	0	0	0	3638	0	0	0	0	0	0	0	0	305	267	3	0	12043	135	0	0	5	0	8	483	3	0	0	0	0	4	518	0	0	147	0
OTU150	0	3145	0	0	25	0	239	73	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3107	0	0	0	0	0	0	868	0	156	0	3	35	7	0	0	0	0	0	7	0	0	103	1172	0	4	0	12	14	5	0	9	0	0	0	5778	0	0	0	0	0	0	4071	0	0	0	0	383	15	531	1143	3	0	0	0	1884	0	0	19	0	0	0	0	0	2757	0	0	0	0	4	0	0	0	0	222	6	0	15	228	0	0	0	12	0	0	0	12	0	0	0	248	0	0	0	0	0	7	10	15	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	727	65	0	106	0	0	0	0	0	0	0	442	0	0	0	0	62	0	0	0	0	0	17	60	0	0	4	0	0	0	0	0	0	0	0	0	0	0	435	2832	148	0	0	0	0
OTU154	53	10	9	56	27	2028	56	24	9	20	9	42	0	0	5	1220	0	17	0	62	7	7	9	63	25	9	28	7	0	14	15	13	7	8	56	20	0	8	60	17	0	7	0	0	29	12	159	115	15	84	0	7	207	30	76	12	12	17	19	0	0	543	0	28	24	15	69	0	0	47	11	5	0	9	7	92	8	0	34	15	8	0	14	0	6	11	12	16	0	2	0	5	0	18	7	0	0	0	54	2	0	12	6	12	16	8	0	29	0	0	7	32	9	4	0	3	0	0	0	5	7	9	4	0	53	8	0	9	7	0	0	12	0	5	3	0	0	11	9	0	22	30	0	0	52	10	38	62	0	0	8	0	0	19	5	7	8	0	14	7	26	16	21	5	7	0	0	0	11	23	45	56	10	14	7	9	16	100	0	19	105	14	0	0	5	0	34	64	27
OTU156	7	65	33	10	296	3345	189	26	7	0	0	155	0	0	13	0	14	46	0	501	23	7	9	59	4	0	27	7	0	47	83	29	0	13	260	19	69	11	0	121	0	99	8	6	8	8	13	299	42	251	10	0	583	15	116	9	36	4	0	0	0	122	4	36	0	22	64	5	20	10	106	38	0	57	16	33	29	0	40	32	0	0	8	7	25	4	27	0	0	0	0	7	0	37	13	6	0	0	52	68	2	0	0	0	37	19	0	0	34	0	0	44	0	78	0	0	0	0	0	0	12	27	27	18	22	0	0	9	5	0	0	0	14	0	0	0	0	18	0	6	18	28	0	0	40	9	29	135	7	7	0	0	0	0	0	7	24	25	0	0	37	42	12	0	6	0	7	0	0	6	31	33	28	16	4	12	23	5	18	27	313	13	10	0	10	0	20	19	31
OTU157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2110	0	0	0	0	0	0	0	0	0	0	0	841	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	3	3	6	1438	0	0	0	0	0	0	0	0	1342	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1776	0	305	0	0	0	0	0	0	0	0	8	0	3	0	0	0
OTU160	108	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	1779	412	12	0	0	0	0	0	0	0	25	588	0	0	26	83	0	0	36	0	0	0	0	0	0	0	0	0	53	0	126	0	0	0	0	198	0	0	792	0	0	1637	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0	75	353	0	0	0	0	0	0	0	40	0	0	0	0	0	0	113	0	0	0	0	0	0	0	429	0	0	715	0	0	0	69	33	0	0	0	0	0	0	122	116	0	0	463	0	0	0	0	0	0	0	0	21	88	0	0	1871	57	0	0	0	241	0	0	0	191	0	0	0	29	0	68	165	0	0	42	0	1331	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	104	16	0	0	222	2564	32	0	0	0	0	0	437	0	0	0	0
OTU180	5	56	0	0	0	0	0	0	0	1248	3	0	37	0	0	0	1845	0	0	0	0	38	0	0	0	21	6	15	0	0	487	17	35	38	20	7	10	392	0	0	0	0	21	532	10	13	0	0	16	0	25	0	0	0	25	0	0	36	15	0	214	0	102	83	41	47	0	0	0	0	0	4	8	0	795	0	0	0	197	0	118	0	22	136	0	0	67	0	0	0	0	4	0	0	0	0	0	2	0	0	7	397	9	0	22	0	0	0	78	298	0	0	0	12	34	0	34	27	0	15	44	13	5	23	0	0	0	8	63	111	0	0	0	244	0	0	0	0	0	23	0	72	0	0	0	0	9	0	20	7	0	0	84	0	297	84	81	0	101	20	0	0	0	53	0	0	0	0	183	0	0	0	26	12	0	23	0	0	12	0	0	84	0	0	32	26	0	245	0
OTU182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1660	57	0	0	405	3	1441	0	0	0	667	0	0	0	0	326	0	0	0	2	0	0	420	0	0	0	0	0	0	202	0	0	0	0	0	0	0	289	0	0	0	327	0	0	0	15	0	0	0	103	436	0	0	0	0	0	17	145	0	1200	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	37	0	0	0	132	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	232	0	361	0	153	0	0	0	3	166	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	91	505	0	368	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	542	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU191	9593	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5455	0	0	0	0	0	0	0	0	0	0	0	0	0	3644	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU192	0	0	576	0	0	0	0	59	0	990	0	0	0	0	0	0	943	0	0	0	0	0	0	0	1971	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	5343	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	13	0	0	0	57	0	0	2944	0	0	0	0	0	0	0	11	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	13	0	11	0	0	0	0	0	0	0	38	0	0	0	0	0	35	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2351	0	34	208	0	27	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	93	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	104	121	0	0	0	0	0	0
OTU202	0	0	0	0	0	42	0	0	0	33	0	0	0	0	0	0	655	0	0	0	2613	0	0	0	2	0	0	0	0	0	0	25	346	0	0	0	0	0	0	530	0	8391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	11177	0	0	4	2	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	509	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	20314	5	0	17843	11	0	0	0	0	7	0	0	0	5	0	0	2	7
OTU211	0	7	4	0	0	0	165	0	28	0	3	0	0	0	0	0	0	35	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	85	0	0	0	0	8	0	5	0	23	0	0	14	5	0	0	0	0	6	0	204	0	15	0	0	0	0	500	0	0	0	0	132	0	193	0	0	0	0	0	280	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	17	10	0	1909	0	0	5	2	0	6	0	0	0	0	5	3	433	0	0	0	40	0	0	0	0	232	0	0	0	4	6	0	0	0	0	0	1478	0	0	568	598	0	16	22	4	17	0	17	0	0	0	0	0	16	0	0	0	0	0	0	6	0	0	7	0	0	6	0	0	998	5	0	0	0	0	11	65	0	0	0	23
